'BU_CODE';'V01_Strategievariant'
'BU01640700';
'BU01640701';
'BU01640702';
'BU01640703';
'BU01640704';
'BU01640705';
'BU01640706';
'BU01640800';
'BU01640801';
'BU01640802';
'BU01640803';
'BU01640804';
'BU01640805';
'BU01640900';
'BU01640901';
'BU01640902';
'BU01640903';
'BU01640904';
'BU01640905';
'BU01640906';
'BU01640907';
'BU01640909';
'BU01660000';
'BU01660001';
'BU01660002';
'BU01660003';
'BU01660004';
'BU01660005';
'BU01660006';
'BU01660007';
'BU01660008';
'BU01660009';
'BU01660010';
'BU01660011';
'BU01660012';
'BU01660013';
'BU01660015';
'BU01660016';
'BU01660017';
'BU01660018';
'BU01660019';
'BU01660300';
'BU01660301';
'BU01660302';
'BU01660303';
'BU01660304';
'BU01660305';
'BU01660306';
'BU01660307';
'BU01660400';
'BU01660401';
'BU01660500';
'BU01660501';
'BU01660600';
'BU01660700';
'BU01660800';
'BU01660900';
'BU01680001';
'BU01680002';
'BU01680003';
'BU01680009';
'BU01680101';
'BU01680102';
'BU01680109';
'BU01680201';
'BU01680209';
'BU01680301';
'BU01680309';
'BU01680401';
'BU01680409';
'BU01710101';
'BU01710102';
'BU01710103';
'BU01710104';
'BU01710105';
'BU01710106';
'BU01710107';
'BU01710108';
'BU01710109';
'BU01710110';
'BU01710111';
'BU01710112';
'BU01710113';
'BU01710114';
'BU01710115';
'BU01710116';
'BU01710117';
'BU01710118';
'BU01710219';
'BU01710220';
'BU01710221';
'BU01710322';
'BU01710323';
'BU01710424';
'BU01710425';
'BU01710426';
'BU01710527';
'BU01710528';
'BU01710529';
'BU01710530';
'BU01710631';
'BU01710632';
'BU01710633';
'BU01710734';
'BU01710735';
'BU01710736';
'BU01710837';
'BU01710838';
'BU01710839';
'BU01710941';
'BU01710942';
'BU01710943';
'BU01711045';
'BU01711046';
'BU01711047';
'BU01711149';
'BU01711150';
'BU01711151';
'BU01711252';
'BU01730100';
'BU01730200';
'BU01730300';
'BU01730400';
'BU01730500';
'BU01730600';
'BU01730700';
'BU01730800';
'BU01730900';
'BU01731000';
'BU01731100';
'BU01731200';
'BU01731300';
'BU01731400';
'BU01750101';
'BU01750102';
'BU01750103';
'BU01750104';
'BU01750105';
'BU01750106';
'BU01750107';
'BU01750108';
'BU01750109';
'BU01750110';
'BU01750111';
'BU01750112';
'BU01750113';
'BU01750114';
'BU01750115';
'BU01750116';
'BU01750117';
'BU01750118';
'BU01750119';
'BU01750120';
'BU01750121';
'BU01750122';
'BU01750123';
'BU01750124';
'BU01750125';
'BU01750126';
'BU01750201';
'BU01750202';
'BU01750301';
'BU01750401';
'BU01750402';
'BU01750403';
'BU01750501';
'BU01750601';
'BU01750701';
'BU01750702';
'BU01750703';
'BU01750801';
'BU01750802';
'BU01750901';
'BU01750902';
'BU01751001';
'BU01751002';
'BU01751101';
'BU01751102';
'BU01751103';
'BU01770000';
'BU01770001';
'BU01770002';
